165,"0554560;""&quot;Dark Angel&quot; Art Attack (TV Episode 2001)"";http://www.imdb.com/title/tt0554560/plotsummary"
166,"0080678;""The Elephant Man (1980)"";http://www.imdb.com/title/tt0080678/plotsummary"
167,"2128314;""&quot;The Story of Film: An Odyssey&quot; New American Independents & the Digital Revolution (TV Episode 2011)"";http://www.imdb.com/title/tt2128314/plotsummary"
168,"0165857;""Let's Talk About Sex (1998)"";http://www.imdb.com/title/tt0165857/plotsummary"
169,"0101258;""Days of Being Wild (1990)"";http://www.imdb.com/title/tt0101258/plotsummary"
170,"1979320;""Rush (2013)"";http://www.imdb.com/title/tt1979320/plotsummary"
171,"0457430;""Pan's Labyrinth (2006)"";http://www.imdb.com/title/tt0457430/plotsummary"
172,"0337978;""Live Free or Die Hard (2007)"";http://www.imdb.com/title/tt0337978/plotsummary"
173,"0381681;""Before Sunset (2004)"";http://www.imdb.com/title/tt0381681/plotsummary"
174,"0019421;""Steamboat Bill, Jr. (1928)"";http://www.imdb.com/title/tt0019421/plotsummary"
175,"0409459;""Watchmen (2009)"";http://www.imdb.com/title/tt0409459/plotsummary"
176,"0177511;""The Glass Agency (1999)"";http://www.imdb.com/title/tt0177511/plotsummary"
177,"0012349;""The Kid (1921)"";http://www.imdb.com/title/tt0012349/plotsummary"
178,"0219288;""Loners (2000)"";http://www.imdb.com/title/tt0219288/plotsummary"
179,"0438584;""Why Germany? (2004)"";http://www.imdb.com/title/tt0438584/plotsummary"
180,"0106330;""Az Karkheh ta Rhein (1993)"";http://www.imdb.com/title/tt0106330/plotsummary"
181,"0061184;""Who's Afraid of Virginia Woolf? (1966)"";http://www.imdb.com/title/tt0061184/plotsummary"
182,"0060196;""The Good, the Bad and the Ugly (1966)"";http://www.imdb.com/title/tt0060196/plotsummary"
183,"1817213;""Marty on Film (Video 2011)"";http://www.imdb.com/title/tt1817213/plotsummary"
184,"0018773;""The Circus (1928)"";http://www.imdb.com/title/tt0018773/plotsummary"
185,"0172495;""Gladiator (2000)"";http://www.imdb.com/title/tt0172495/plotsummary"
186,"0102926;""The Silence of the Lambs (1991)"";http://www.imdb.com/title/tt0102926/plotsummary"
187,"0112864;""Die Hard: With a Vengeance (1995)"";http://www.imdb.com/title/tt0112864/plotsummary"
188,"0364569;""Oldboy (2003)"";http://www.imdb.com/title/tt0364569/plotsummary"
189,"0095903;""The Prince of Pennsylvania (1988)"";http://www.imdb.com/title/tt0095903/plotsummary"
